Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
293,2003,7,20,0,85.8,63.8,3.864506,5.6,1.735494
294,2003,7,21,0.3,88.7,59.7,7.462587,5.8,-1.662587
295,2003,7,22,0,89.6,61.1,3.817279,6.2,2.382721
296,2003,7,23,0,92.1,65.9,3.617239,6.1,2.482761
297,2003,7,24,0,91.9,66.4,3.425814,6,2.574186
298,2003,7,25,0,89.7,65.7,3.251299,6,2.748701
299,2003,7,26,0,84.8,58.7,3.09321,5.9,2.80679
300,2003,7,27,0.03,83.7,59.4,3.033225,5.7,2.666775
301,2003,7,28,0,85.6,63.5,2.86351,5.3,2.43649
302,2003,7,29,0,88.3,63.6,2.725117,5.3,2.574883
303,2003,7,30,0,89.3,63.6,2.597964,5.3,2.702036
304,2003,7,31,0,90.8,64.5,2.478787,5.5,3.021213
305,2003,8,1,0.97,88.2,57.2,41.120068,5.4,-35.720068
306,2003,8,2,0,85.6,60.6,5.595807,5.2,-0.395807
307,2003,8,3,0,83.9,55,5.160473,5.2,0.039527
308,2003,8,4,0,78.9,54.6,4.825533,5.1,0.274467
309,2003,8,5,0,80.2,52,4.564837,5,0.435163
310,2003,8,6,0,83.3,61.2,4.321131,4.9,0.578869
311,2003,8,7,0,81.6,62.1,4.055956,4.8,0.744044
312,2003,8,8,0,85.9,62.8,3.83077,4.7,0.86923
313,2003,8,9,0,86.9,64.4,3.606305,4.6,0.993695
314,2003,8,10,0,88,66.1,3.403381,4.5,1.096619
315,2003,8,11,0,91,65.6,3.215922,4.4,1.184078
316,2003,8,12,0,89.1,62.5,3.042064,4.3,1.257936
317,2003,8,13,0,88.8,61.9,2.893327,4.5,1.606673
318,2003,8,14,0,90.1,62.3,2.751,4.4,1.649
319,2003,8,15,0,91,66.8,2.619165,4.3,1.680835
320,2003,8,16,0.03,88.9,55.7,2.492796,4.8,2.307204
321,2003,8,17,0.17,79.1,54.4,5.375256,4.6,-0.775256
322,2003,8,18,0,86.7,53.2,2.434394,4.4,1.965606
323,2003,8,19,0,87.1,54.5,2.331901,4.4,2.068099
324,2003,8,20,0,91.5,62,2.23958,4.5,2.26042
325,2003,8,21,0,80.2,60.5,2.143656,4.6,2.456344
326,2003,8,22,0.08,83.5,58.3,2.701403,5.2,2.498597
327,2003,8,23,0.27,80.4,54.5,7.164747,4.9,-2.264747
328,2003,8,24,0,82,56.9,2.143541,4.9,2.756459
329,2003,8,25,0,81.3,53.4,2.068487,4.8,2.731513
